,Test MSE,Test AUROC
mlp,0.2868487536907196,0.9193510005408329
sage,0.31201279163360596,0.9189832341806381
gat,0.3270476162433624,0.9616441319632234
spagcn,0.3219791650772095,0.943428880475933
